id_micro,f_2,f_3,"M1,1","M1,2","M1,3","M1,4","M1,5","M1,6","M2,2","M2,3","M2,4","M2,5","M2,6","M3,3","M3,4","M3,5","M3,6","M4,4","M4,5","M4,6","M5,5","M5,6","M6,6",last_sigma
1_100_1e-05_50_4_6,0.066586,0.121987,0.0001220310544805,4.81048825182769e-05,0.000116664370405,4.61586733176708e-05,4.52486942786022e-05,0.0001122445855258,1.33053264699822e-08,-5.61707133481611e-08,-7.12041172699298e-07,3.37651172047638e-05,7.23148453427737e-08,5.51291142182285e-08,3.13220429211881e-07,1.1017931122017e-07,3.45118650645129e-05,3.28574808077717e-07,3.77198456945049e-07,3.8260185764099e-08,2.06819099985898e-08,5.48654442654517e-08,3.62907816614346e-05,-0.0027097469805233
2_100_1e-05_50_4_6,0.059438,0.123256,0.0001199989499223,4.7435846026667e-05,0.000117962478726,4.49213404442163e-05,4.57007947615105e-05,0.0001112650789691,1.36145557521298e-07,-1.27939912396638e-08,4.30202792264846e-07,3.42034258300145e-05,3.43282610397019e-07,2.06735402962738e-07,1.4497673496889e-07,-1.2058859569255e-08,3.3576498140005e-05,1.13844322527277e-07,1.08817365456727e-07,-1.73465792015256e-08,1.55185011666771e-07,1.00417778641682e-07,3.5743018576399e-05,-0.0025857315893718
3_100_1e-05_50_4_6,0.086452,0.095176,0.0001279615791859,5.10716146804333e-05,0.0001264494486626,4.90599267094837e-05,4.91843913137024e-05,0.0001175766764737,-5.11980289408464e-07,-2.27963011140553e-07,-4.97495552529306e-07,3.66795207819573e-05,-5.60930562692152e-08,1.3045462454693e-07,-1.14142532663869e-07,-4.74922404468968e-08,3.65021630003932e-05,-2.27288607428159e-07,-3.02852142527177e-07,-9.80860056487273e-08,1.27358515498749e-07,-4.46739124387242e-07,3.78716809274889e-05,-0.0027926267439238
4_100_1e-05_50_4_6,0.043401,0.110984,0.0001233773783677,4.94359535613327e-05,0.0001213930875058,4.7291132974804e-05,4.68320944907951e-05,0.0001144417976367,2.56433492188292e-07,1.82206652158299e-07,-1.79315062055524e-07,3.4542850284304e-05,7.62819789749257e-07,3.0829880809448e-07,1.05463974160636e-06,7.68633285676599e-08,3.50028875582734e-05,2.29656927825881e-07,2.87065463749086e-08,1.66121509545797e-08,1.56631462076732e-07,2.84615960533839e-07,3.68433506610378e-05,-0.0027296284757489
5_100_1e-05_50_4_6,0.082147,0.138246,0.0001166173636261,4.56494830966356e-05,0.0001134292540913,4.4766935192257e-05,4.39117656426129e-05,0.0001098613146611,-2.43313723491769e-08,3.91189661018063e-07,3.93946512507391e-07,3.28706263406325e-05,2.77581359570377e-07,-2.57981901065916e-07,8.13221156546503e-07,1.93356882281337e-07,3.38522053022645e-05,2.71156893242236e-07,2.21479173902882e-07,2.04557690026847e-07,-3.75783395001659e-07,-8.0384709526907e-08,3.47540085653627e-05,-0.0025010516608456
6_100_1e-05_50_4_6,0.074516,0.126737,0.0001179014015719,4.56038816254195e-05,0.0001180359010849,4.46609589069391e-05,4.4435659910834e-05,0.0001096661588596,-1.94394409668747e-07,-3.80759628015741e-07,-3.45444141882401e-07,3.35931553183743e-05,-3.30717111010692e-07,1.09906134695847e-07,-1.63776605284138e-07,3.880124134671e-08,3.40828344155994e-05,5.82738728276206e-08,2.293192081677e-07,6.23530338540634e-08,1.0777717212488e-07,-9.48575478085744e-08,3.43286432051294e-05,-0.0025454986536482
7_100_1e-05_50_4_6,0.065434,0.102996,0.0001263242044073,5.06416388221386e-05,0.0001253586984472,4.83411437891152e-05,4.893918652147e-05,0.0001146506220518,-3.31385703947625e-07,-5.21905030335789e-07,-5.65307070045469e-07,3.62842826562854e-05,3.07040850478591e-07,2.17599857987024e-07,4.26276912536211e-07,5.17682048175097e-08,3.58959533147887e-05,-4.75380534339055e-08,1.24170774842825e-08,3.28656398996903e-08,1.38619340233484e-07,-3.13401874515719e-07,3.73959570317679e-05,-0.0028430653488187
8_100_1e-05_50_4_6,0.084602,0.114514,0.0001228005184672,4.85445145836281e-05,0.0001215432400664,4.76427427831905e-05,4.71819954473753e-05,0.0001146000337325,3.86078007551828e-07,2.39988678838432e-07,1.32526901889917e-07,3.51079242355269e-05,-3.12794711621567e-07,-5.31460991703036e-07,-5.30717730310562e-07,1.67348579524514e-07,3.54940852038847e-05,1.74601205814511e-07,4.28495602536796e-07,1.09949606273024e-07,-4.98770325947516e-07,3.96184951273907e-07,3.61527383152109e-05,-0.0026497019149472
9_100_1e-05_50_4_6,0.085649,0.124249,0.0001210546182662,4.66841288777178e-05,0.0001181124174622,4.48271952581907e-05,4.42162823567312e-05,0.0001084409580487,-2.18945062741134e-07,-3.09260685246313e-07,3.48479455632982e-08,3.33968686387557e-05,-3.74199651912283e-07,-2.23693182510983e-07,-1.87457819140998e-07,1.36225510096281e-07,3.40976083241899e-05,9.81937829094728e-08,8.08417151247408e-08,1.73663319897144e-07,-2.38308774939611e-07,-1.22609554376102e-07,3.5511624694328e-05,-0.002684636703467
10_100_1e-05_50_4_6,0.096439,0.091543,0.0001318585249643,5.26483854355068e-05,0.0001296641330016,5.07669353383249e-05,5.02340076925149e-05,0.0001207561846227,6.68130042610629e-08,-6.65593710890842e-08,-2.52920246224715e-07,3.6560812442625e-05,4.05975071313725e-07,2.06454249624175e-07,3.53381513381013e-07,4.70580304385307e-08,3.72075565202202e-05,1.0287321713403e-07,7.33653176003965e-08,3.92560788752402e-08,1.56955194726246e-07,8.75055381768066e-08,3.85502613514121e-05,-0.0029850128049491
11_100_1e-05_50_4_6,0.068226,0.114792,0.0001237979955261,4.87343993500003e-05,0.000119244391832,4.82700910746861e-05,4.75506107404875e-05,0.0001163055917424,1.59405588779057e-07,-5.6208366327103e-08,-2.35401876806091e-07,3.51663968709041e-05,-4.58186940912392e-07,-9.32238741208732e-08,-4.15021628882257e-07,2.40425122365203e-07,3.58230745203919e-05,-1.49725354345919e-07,-4.33291166277869e-07,2.31842746739812e-07,-1.19886086475108e-07,1.84436527242146e-07,3.61458536961235e-05,-0.0028370342250261
12_100_1e-05_50_4_6,0.071252,0.125275,0.0001202707351324,4.661084465409e-05,0.0001168064882691,4.54333989074333e-05,4.4457798878076e-05,0.0001098515416104,-2.15214630964769e-07,-5.53740221433418e-07,-5.85358561036648e-07,3.33527212485416e-05,3.33022527531511e-07,4.45258825812925e-08,4.89487402148529e-07,5.59793265991835e-08,3.45836171063689e-05,1.70095396097789e-07,2.95547134076568e-07,1.62492592762114e-07,-4.12924771316329e-08,-1.8906296637088e-07,3.5144667370303e-05,-0.0025637318332665
13_100_1e-05_50_4_6,0.071291,0.102131,0.0001242853789234,4.96652551031399e-05,0.0001256046645421,4.78591349590803e-05,4.86616037697465e-05,0.0001180852400235,2.85156761860649e-07,4.90803037301376e-07,2.57867676733436e-07,3.59188204828961e-05,1.47927199410085e-06,6.20961925313524e-07,1.28862097881231e-06,-4.41567075587361e-08,3.52413721254568e-05,-5.03358564415687e-08,-9.73756668265644e-08,-4.87755626554415e-08,3.39580521361857e-07,2.68160613192884e-07,3.67860690523694e-05,-0.0024262845630414
14_100_1e-05_50_4_6,0.089236,0.102785,0.0001250375456526,5.00225428875404e-05,0.0001260185172129,4.83680588712327e-05,4.9350267339268e-05,0.0001202652431513,7.90363409554906e-08,-3.58811187273169e-07,3.82746059577534e-07,3.64096930453565e-05,-7.51740425566994e-07,-3.82525982421929e-07,-7.57158218938446e-07,-1.64203685216662e-07,3.55482029685784e-05,-1.11248402969164e-08,4.59812102970073e-08,-1.62172174375923e-07,-2.15291527643873e-07,-1.29488592517196e-08,3.69586650722682e-05,-0.0025375147848397
15_100_1e-05_50_4_6,0.040019,0.099344,0.0001254096492637,5.01254930885931e-05,0.0001245803748461,4.8074486642799e-05,4.77818155902194e-05,0.000115384785292,-1.44313535972551e-07,-4.40875619344736e-08,-6.06645107289e-07,3.52974373511734e-05,1.14871204782734e-07,-2.38648369022776e-07,4.78944013689953e-07,2.21847418112277e-07,3.56774239988287e-05,1.91021192822223e-07,5.09818639947926e-07,2.09163974398968e-07,-2.67785527838568e-07,-3.903457407404e-08,3.71428685336481e-05,-0.0027748676278352
16_100_1e-05_50_4_6,0.073467,0.141355,0.0001189840748057,4.56833948117918e-05,0.0001171009946258,4.10695898740506e-05,4.05104464083065e-05,9.84341744563149e-05,5.28584668841217e-08,6.32941211888558e-07,-1.88649818012691e-07,3.05031667523401e-05,1.71707063790112e-07,1.51018564522533e-07,3.77028266418142e-08,-7.09917240270135e-08,3.13286655876088e-05,2.95141773604893e-07,2.85392016731582e-07,-3.44858348412784e-08,1.35244090827832e-07,6.8319353505239e-09,3.53001657070962e-05,-0.0025723545351468
